"","phylum","class","order","family","Mimon crenulatum (080813_7)","Mimon crenulatum (080913_2)","Phyllostomus discolor (080613_8)","Phyllostomus discolor (080813_19)","Phyllostomus hastatus (080613_5)","Phyllostomus hastatus (080913_8)"
"1","DRYD01","DRYD01","","",0.125379234705351,1.27150640507198,2.25169743284242,0.34469426482714,0.00138082857605012,0.00252494368192022
"2","Thermoproteota","JANJXX01","","",32.0251626418801,0.22807342851845,0,0.0703433528884961,0.0885702900923577,0.0253283413092622
"3","Bacillota","Bacilli","Lactobacillales","",0,0.212331982751478,0.00654907267498057,0,0,0
"4","Actinomycetota","Thermoleophilia","Miltoncostaeales","",0,0,0.00406358123809035,0,0.0736967937160464,0.00102575837078009
"5","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",0,0.0606381006111153,0,0,0,0
"6","Actinomycetota","Actinomycetia","Actinomycetales","Actinomycetaceae",0.00122301959593011,0.795120546334689,0.245748034291891,0.106757775051189,0.0299048017327426,0.022961206607462
"7","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae",0.00189370776144016,0.000315617960240027,0.128851032267991,0.0161754204623014,0,0.672108446331138
"8","Desulfobacterota","Desulfarculia","Adiutricales","Adiutricaceae",0,3.94522450300034e-05,0.35021757913134,0,0,0.368681229805382
"9","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae",0.000394522450300034,0.00236713470180021,0.534972442606847,0.0243420351835121,0.00591783675450052,0.469560620347101
"10","Bacillota","Bacilli","Bacillales_D","Amphibacillaceae",0.000394522450300034,7.89044900600069e-05,0.00153863755617013,0.00504988736384044,0.0273009535607624,0.00126247184096011
"11","Actinomycetota","Actinomycetia","Mycobacteriales","Antricoccaceae",0.00102575837078009,0.1105846428191,0,0,0,0
"12","Actinomycetota","Actinomycetia","Actinomycetales","Beutenbergiaceae",0,0.540298495685897,0,0,0.173037546701595,0
"13","Actinomycetota","Actinomycetia","Actinomycetales","Brevibacteriaceae",0,0.11654193181863,0.0106915584031309,0,0.00011835673509001,0
"14","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae_A",0.000710140410540062,0,17.0617545991455,0.0271825968256724,0.11638412283851,1.24014187027313
"15","Bacillota_A","Clostridia","Christensenellales","CAG-74",0,0,0.0450150115792339,0,0,0.146722899266583
"16","Actinomycetota","Actinomycetia","Actinomycetales","Cellulomonadaceae",0.00520769634396045,0.0144000694359513,0.440129245554718,0.178915931211066,0.00536550532408047,0.143645624154243
"17","Chlamydiota","Chlamydiia","Chlamydiales","Chlamydiaceae",0,0.103719952183879,0,0,0,0
"18","Bacillota_A","Clostridia","Christensenellales","Christensenellaceae",0,0,0,0,0,0.509920267012794
"19","Bacillota_A","Clostridia","Clostridiales","Clostridiaceae",0.0589811063198551,0.0011046628608401,0.960583261990524,0.0498281854728943,0.00142028082108012,0.68512768719104
"20","Actinomycetota","Actinomycetia","Actinomycetales","Dermabacteraceae",7.89044900600069e-05,0.000355070205270031,1.13362080869212,0.221879426048739,1.29932023781813,0.00789044900600069
"21","Actinomycetota","Actinomycetia","Actinomycetales","Dermatophilaceae",0.00520769634396045,3.45424131360195,0.296641430380596,0.0472637895459441,1.3641008241574,0.00958689554229083
"22","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae",0,0.000749592655570065,0.56957206149816,0,0,0.207005929672428
"23","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulforegulaceae",0,0,0,0,0,0.131967759625361
"24","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae",0,0.000197261225150017,0.538562596904577,0,0,4.17657246785628
"25","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Devosiaceae",0,0.0484868091418742,0.00552331430420048,0,3.94522450300034e-05,0
"26","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae",0,0.260739887403293,0.00591783675450052,0,0,0
"27","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",0.11890906652043,17.0948155804806,32.3285898584059,77.953967120499,0.00718030859546062,0.388525709055474
"28","Bacillota","Bacilli","Lactobacillales","Enterococcaceae",11.5744207424123,12.5103858035041,11.1346071148179,0.864674854322585,0.761743947039306,12.101266022543
"29","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae",0,0.214699117453279,0,0,0,0
"30","Bacillota_A","Clostridia","Eubacteriales","Eubacteriaceae",0,0,0,0,0,0.334476133364369
"31","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",0,0,0,0,0.0827708100729472,7.89044900600069e-05
"32","Bacillota","Bacilli","Staphylococcales","Gemellaceae",1.06809062969728,2.14663610432752,0.11291232527587,0.0335738605205329,67.1145811552406,68.8064117788623
"33","Actinomycetota","Actinomycetia","Mycobacteriales","Geodermatophilaceae",0.000867949390660076,1.05459796189702,0.000157808980120014,0,0,0
"34","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae",0.254782598403762,3.94522450300034e-05,0.719056617916842,0.0188976253693716,0.00185425551641016,0
"35","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae",0,0.952495551759373,0.00749592655570065,0.00149918531114013,0,0
"36","Actinomycetota","Acidimicrobiia","Acidimicrobiales","JAAYBP01",0.00011835673509001,1.62026425113721,0.0193316000647017,0.000552331430420048,3.94522450300034e-05,0
"37","Actinomycetota","Actinomycetia","Mycobacteriales","Jatrophihabitantaceae",0,0,0.11026902485886,0.0045764604234804,0.140331635571722,0.000670688165510058
"38","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae",3.94522450300034e-05,0.172524667516205,0,0,0,0.0776420182190468
"39","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae",1.95170256163427,0.91493701449081,1.51595251527788,0.79965755451314,0.0178718669985916,0.166843544231885
"40","Methanobacteriota","Methanobacteria","Methanobacteriales","Methanobacteriaceae",0.000433974695330038,0.000631235920480055,0.0718425381996362,0,0,1.29600624923561
"41","Bacillota_A","Clostridia","Christensenellales","MGBC116941",0.000986306125750086,0.000157808980120014,0.23055891995534,0.00189370776144016,0,0.566258072915639
"42","Actinomycetota","Actinomycetia","Actinomycetales","Microbacteriaceae",3.94522450300034e-05,0.488221532246293,0.00236713470180021,0,0.0629263308228555,0
"43","Actinomycetota","Actinomycetia","Mycobacteriales","Micromonosporaceae",0,0,0.00903456411187079,0.000867949390660076,0.325165403537288,0.00288001388719025
"44","Actinomycetota","Actinomycetia","Mycobacteriales","Mycobacteriaceae",0.0773658525038367,1.02212876423733,0.487748105305932,0.0721976084049063,5.28383917686836,0.0987095170650686
"45","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmoidaceae",0,0,0,0,0.0979204721644685,0
"46","Actinomycetota","Actinomycetia","Mycobacteriales","Nakamurellaceae",0,0.223575872585029,0,0,0.0696726647229861,0
"47","Patescibacteria","Saccharimonadia","Saccharimonadales","Nanosynbacteraceae",0,0.034323453176103,0,0,0,0
"48","Actinomycetota","Actinomycetia","Propionibacteriales","Nocardioidaceae",0.000433974695330038,2.67959648243783,0.381897731890433,0.00903456411187079,0.200141239037207,0.000710140410540062
"49","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Pasteurellaceae",0,0,2.78544685585333,0.167790398112605,21.7629630214107,5.12200606775529
"50","Bacillota_A","Clostridia","Peptostreptococcales","Peptostreptococcaceae",0.832245108907922,1.3408239995897,0.239277866106971,0.0437130874932438,0.0220143527267419,0.622043547388064
"51","Actinomycetota","Actinomycetia","Propionibacteriales","Propionibacteriaceae",1.34271770735114,2.9501599788536,0.310804786346367,0.011283342078581,0.265395252316833,0.0854535627349874
"52","Actinomycetota","Actinomycetia","Mycobacteriales","Pseudonocardiaceae",0,0.127904178387271,0.000157808980120014,0.000394522450300034,0,0
"53","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae",0,0.033968382970833,0,0,0,0
"54","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",28.6473008746563,0.621688477182794,3.42946530372311,9.852724769303,0.0250521755940522,0.000749592655570065
"55","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",0.000157808980120014,0.000670688165510058,1.65857238106134,0.57170248272978,0.000355070205270031,0.131218166969791
"56","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae",0,0.092397157860268,0.0500648989430744,0,0,0.402097281345795
"57","Bacillota","Bacilli","Staphylococcales","Salinicoccaceae",0,0,0.000946853880720082,0,0.0400440287054535,0
"58","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae",0.000591783675450051,1.35222569840337,0.168697799748295,0.057403016518655,0,0
"59","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae",0.000355070205270031,0.00193316000647017,0.0105732016680409,0,0.091884278674878,0.00220932572168019
"60","Bacillota","Bacilli","Lactobacillales","Streptococcaceae",21.9018349239163,43.9139388726915,19.4084135857751,8.42727570412394,0.405371817683285,0.45740932887786
"61","Actinomycetota","Actinomycetia","Streptomycetales","Streptomycetaceae",0.000946853880720082,0.217460774605379,0,0,0,0
"62","Actinomycetota","Actinomycetia","Streptosporangiales","Streptosporangiaceae",0,7.89044900600069e-05,7.89044900600069e-05,0.00011835673509001,0.034323453176103,0.00011835673509001
"63","Synergistota","Synergistia","Synergistales","Synergistaceae",0,0,0,0,0,0.192882025951687
"64","Bacillota_B","TC1","TC1","TC1",0,0.11871180529528,0,0,0,0
"65","Planctomycetota","Planctomycetia","Pirellulales","Thermoguttaceae",0,0.000197261225150017,0.0220143527267419,0,0,0.137925048624892
"66","Deinococcota","Deinococci","Deinococcales","Trueperaceae",0,0.273759128263194,0,0,0,0
"67","Desulfobacterota","Desulfobacteria","Desulfobacterales","UBA2174_A",0,0,0.0155836367868514,0,0,0.0998141799259087
"68","Chloroflexota","Chloroflexia","Thermomicrobiales","UBA6265",0,0.0442654189236639,0.157730075629954,0,0,0
"69","Actinomycetota","Coriobacteriia","Coriobacteriales","UBA8131",0,0,0,0,0,0.0835598549735473
"70","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",0,0.557894196969279,0.0187003641442216,0.0137688335154712,0,0
